Rule,Category,Example,Score
,,This infrared radiation rises into the atmosphere where gases prevents the infrared radiation from escaping into space.,
,,"This infrared radiation rises into the atmosphere where gases, such as carbon dioxide, prevents the infrared radiation from escaping into space.",
,,Tina and her father sings a song.,
,,What happened when the dogs of war was released.,
,,"What happened when the dogs of war, two dachshunds, was released.",
,,What happened when the dogs was released?,
,,"What happened when the dogs, Bob and Ben, was released.",
,,What happens when the dogs is released?,
,,What happens when the dogs of war is released.,
,,"What happens when the dogs of war, finally, is released.",
,,"What happens when the dogs, Bob and Ben, is released?",
AGREEMENT_THEIR_HIS,Grammar,Each child needs their parents.,50
,,Each of the boys likes their new teacher.,
AH_HA,Possible Typo,"After that we had an ""ah ha"" moment and that was it.",80
AIM_ON_AT,Collocations,This tool is aimed on regular users.,
AIRPLANE_HANGER,Commonly Confused Words,These are airplane hangers.,
ALA_MODE,Possible Typo,He loves his pie ala mode.,80
ALBUM_COMPRISED_OF,Possible Typo,This is an album comprised of of great songs.,80
ALL_AND_ALL,Nonstandard Phrases,All and all it’s just another brick in the… toilet?,
ALL_BE_IT,Possible Typo,The good news is that there are several redeeming factors to (all be it barely).,80
ALL_FOR_NOT,Commonly Confused Words,My farmer pants were all for not...,
ALL_MOST,Possible Typo,All most all the patents were rejected...,80
ALL_MOST_SOME_OF_NOUN,Grammar,All of students like mathematics.,50
ALL_OF_THE,Redundant Phrases,She is going to all of the parks.,
ALL_OF_THE_SUDDEN,Nonstandard Phrases,Why would a man all of the sudden send flowers?,
,,Why would a man all the sudden send flowers?,
ALL_OVER_THE_WORD,Possible Typo,The company employs over 25 000 people all over the word.,80
ALL_READY,Possible Typo,I have all ready bought it.,80
,,I've all ready bought it.,
ALL_THE_FARTHER,Possible Typo,The town was all the farther than the border.,80
ALL_THE_FURTHER,Commonly Confused Words,That's all the further I'll go.,
ALL_THINGS_CONSIDERED,Plain English,"All things considered, Connecticut's woodlands are in better shape now than ever before.",
ALL_WAYS,Possible Typo,He all ways takes the last piece of cake.,80
ALLOT_OF,Possible Typo,I've got allot of questions to you.,80
ALLOW_TO,Grammar,It allowed to see better.,50
,,It allows to see better.,
ALLOW_TO_DO,Grammar,He allowed me do it on my own.,50
ALLTHOUGH,Possible Typo,"All though I liked the book, I had to stop reading it.",80
,,All though the day: a song by Anita O'Day.,
ALLUDE_ELUDE,Possible Typo,Her failure to allude the school bullies is evident.,80
ALLY_ALLAY,Commonly Confused Words,I would like to ally concern.,
ALONG_SIDE,Possible Typo,The car pulled up along side.,80
ALONG_THE_LINES_OF,Plain English,I think my point is very much along the lines of his.,
ALONG_THE_SAME_VEIN,Nonstandard Phrases,I've been working along the same vein.,
ALONG_TIME,Possible Typo,After along time the lovers were reunited.,80
ALREADY_ALL_READY,Commonly Confused Words,Are you already?,
,,The device is all ready available in Korea.,
ALSO_KNOW,Possible Typo,He is also know as the first Chechen writer.,80
ALSO_OTHER,Redundant Phrases,"However, there are also other marbles in the jar.",
ALSO_SENT_END,Style,You will buy some eggs also.,
ALTER_BOY,Commonly Confused Words,Forty-seven percent of executives said they were concerned that retiring Boomers will significantly altar the workforce in the next decade.,
,,He was an alter boy.,
,,He was at the alter.,
AM_I,Grammar,Whom am talking with?,50
AM_IN_THE_MORNING,Redundant Phrases,It's 5 A.M. in the morning.,
,,It's 5 AM in the morning.,
AM_LOATHE_TO,Possible Typo,I am loathe to continue this conversation.,80
AM_PM,Redundant Phrases,"It's 7,30 p.m.",
AM_PM_OCLOCK,Redundant Phrases,It's 7 o'clock a.m.,
,,It's 7 o'clock AM.,
AMENABLE_AMENDABLE,Commonly Confused Words,You must be amendable to compromise.,
AN_ANOTHER,Grammar,It's an another lonely night.,50
AN_INVITE,Style,Is that an invite...?,
AN_THEN,Possible Typo,Tonight I'm going to eat dinner at Alyssa's an then go to Christina's.,80
ANALYSIS_ABOUT,Collocations,Read the analysis about the results.,
ANALYSIS_IF,Possible Typo,An Analysis if Rock Music,80
And,Style,"And yes, it shows a lack of style to start a sentence with 'and'.",
AND_ALSO,Redundant Phrases,Typical English Food and also Welsh and Scottish too,
AND_END,Grammar,Is he at the and?,50
AND_ETC,Redundant Phrases,E-Commerce and etc.,
AND_SO_FOURTH,Possible Typo,And so on and so fourth.,80
AND_SO_ONE,Possible Typo,We think it helps to find bottlenecks and so one.,80
AND_THAN,Commonly Confused Words,How to add equal values and than replace them with their sum?,
ANGRY_AGAINST_WITH,Collocations,Birds fly when they are angry against pigs.,
ANGRY_WITH_ABOUT,Collocations,Barbie is angry with the situation.,
ANINFOR_EVERY_DAY,Possible Typo,These shoes are great for every day wear.,80
,,You shouldn’t wear an every day outfit to the wedding.,
ANNUAL_ANNIVERSARY,Redundant Phrases,First Annual Anniversary Contest,
ANOTHER_WORDS,Possible Typo,"Another words, he is an ideal husband.",80
ANXIOUS_OF_ABOUT,Collocations,They are anxious for his health.,
ANY_BODY,Possible Typo,Any one needs help here?,80
,,No body seems to care.,
ANY_WHERE,Possible Typo,Put your stuff down any where.,80
APART_A_PART,Possible Typo,I'd like to be apart of your team.,80
,,We set it apart of other religions.,
APART_FORM,Possible Typo,Christianity was set apart form other religions.,80
APOS_ARE,Punctuation Errors,The car's are cheap.,
APOS_RE,Possible Typo,We don'T need this.,80
,,We'Re looking forward to our meeting.,
APOSTROPHE_IN_DATES,Typography,Hillary Clinton asked where Bernie Sanders was in the 1990's.,
APOSTROPHE_PLURAL,Possible Typo,7 reason's why,80
,,7 reasons why teacher's found us top class,
APPLY_FOR,Collocations,You try and apply for another University!,
APPLY_TO,Collocations,You can apply to welfare.,
APPROXIMATELY_ABOUT,Redundant Phrases,Americans feel full of energy and healthy approximately about 19 days per month.,
ARCHITECT_VERB,Commonly Confused Words,I would like to architect a house,
ARE_ABLE_TO,Redundant Phrases,"Yes, there are some species of frogs that are able to throw up their entire stomach and wipe it off with their legs.",
ARE_STILL_THE_SOME,Possible Typo,That means that tires are still the some of the most important components of your vehicle.,80
AREA_COMPRISED_OF,Possible Typo,The Tenderloin is an area comprised of the seedy sort.,80
ARMED_GUNMAN,Redundant Phrases,Armed gunmen entered the room to kill Bill.,
ARRIVAL_TO_THE_HOUSE,Collocations,"At that time, their arrival to the house was a surprise.",
,,Their arrival to the city will be at one o'clock.,
ARRIVE_AT_IN,Collocations,They will arrive at the city at 9:00 am.,
ARRIVE_NNP,Grammar,I would like to arrive Dallas next day.,50
ARRIVE_ON_AT_THE_BEACH,Collocations,"When John arrived on the beach, he went for a swim.",
ARRIVED_IN,Collocations,Arrive in the downtown.,
ARTICLE_ADJECTIVE_OF,Grammar,We are not responsible for the delusional of your client.,50
ARTICLE_MISSING,Grammar,About large boat.,50
,,About month before I left it was discussed...,
,,ACET would not be able to reclaim tax on covenant.,
,,Change your filter after week.,
,,He does lot of things.,
,,He gives brother a bar of chocolate.,
,,He goes step too far.,
,,He is experienced soldier.,
,,He is extremely experienced soldier.,
,,He is friend.,
,,He is good friend.,
,,He is talking about friend.,
,,He is talking about good friend.,
,,He is talking of such friend.,
,,He is talking of such good friend.,
,,He takes brother with him.,
,,He was waiting at airport.,
,,He was waiting at new airport.,
,,He was waiting by river.,
,,He was waiting by small river.,
,,He was waiting for answer.,
,,He was waiting for swift answer.,
,,He was waiting in large lobby.,
,,He was waiting in lobby.,
,,It falls tad.,
,,Recently I have experienced problem.,
,,Recently I have experienced serious problem.,
,,The dog spent all day in kitchen.,
,,This remark is on previous page.,
ARTICLE_UNNECESSARY,Grammar,I need a oil for my car.,50
AS_A_MATTER_OF_FACT,Plain English,"As a matter of fact, dry-bulb temperature indicates the amount of heat in the air.",
AS_ADJ_AS,Grammar,This house is as big than mine.,50
AS_FOLLOW,Possible Typo,The main points are as follow:,80
AS_FOLLOW_AS_FOLLOWS,Possible Typo,We can elaborate this distinction as follow.,80
AS_OF_YET,Redundant Phrases,The report remains unfinished as of yet.,
AS_OPPOSE_TO_AS_OPPOSED_TO,Possible Typo,"Professional sports, as oppose to amateur sports , are sport s in which athletes receive payment for their performance",80
AS_PER,Plain English,"As per usual, he came late to work.",
AS_TIME_PROGRESSED,Possible Typo,"As time progressed, the sisters got wiser.",80
AS_WELL_AS_BETTER,Commonly Confused Words,As well or better than,
ASCETIC_ACID,Commonly Confused Words,There was a spill of ascetic acid.,
ASHAMED_FROM,Collocations,"After flunking in the exam, she felt ashamed from it.",
ASK_NO_PREPOSITION,Grammar,She asked to me whether I like cats.,50
ASK_THE_QUESTION,Redundant Phrases,He asked the question whether it's OK to add some rules to LanguageTool.,
ASK_TO,Collocations,Ask to all the employees.,
ASK_WETHER,Commonly Confused Words,Don't ask me wether it is already decided!,
ASSIST_ASSISTANCE,Plain English,Do you need any assistance?,
ASSOCIATE_TOGETHER,Redundant Phrases,Hippos associate together in groups.,
,,"Poets and choregi having been associated together in pairs, there still remained the selection and appointment of the actors.",
ASSOCIATES_TO,Collocations,She associates her layoff to your arrival.,
AT_ALL_TIMES,Plain English,Kingfisher can be found near water at all times,
AT_IN_THE_KITCHEN,Collocations,The plant is at the kitchen.,
AT_IN_THE_MORNING,Collocations,I like to do soccer on the evening.,
AT_OVER_THE_WEEKEND,Collocations,I like to do soccer on the weekend.,
AT_THE_JOB,Collocations,He does personal stuff at the job.,
AT_THE_REIGNS,Possible Typo,The coachman held the reigns with expertise.,80
AT_TIME,Grammar,She came on 7 o'clock.,50
,,She came on 7:30 p.m.,
AT_YOUR_EARLIEST_CONVENIENCE,Plain English,Please come at your earliest convenience.,
ATM_MACHINE,Redundant Phrases,ATM Machine Comparison Guide,
AUTOBIOGRAPHY_OF_A_LIFE,Redundant Phrases,"In this autobiography of a life of courage and love, we get to share in the compelling story of a family’s struggles.",
AWAITING_FOR,Commonly Confused Words,He was awaiting for a person.,
AWAY_FRO,Possible Typo,He is away fro the sea.,80
AXED_ASKED,Commonly Confused Words,He axed me to dinner.,
BACK_ABACK,Commonly Confused Words,He was totally taken back by my response.,
BACK_AND_FOURTH,Commonly Confused Words,How to move back and fourth from linux to xmb?,
BACK_FIRE,Possible Typo,His plans always back fire.,80
BACK_IN_FORTH,Commonly Confused Words,I've been texting back in forth with him for the past 3 days.,
BAITED_BREATH,Possible Typo,We are waiting with baited breath.,80
BALD-HEADED,Redundant Phrases,He is bald-headed.,
BALSA_WOOD,Redundant Phrases,It's made of balsa wood.,
BAND_COMPRISED_OF,Possible Typo,The Beatles were a band comprised of great musicians.,80
BAR_B_QUE,Commonly Confused Words,A casual summer bar-b-queue.,
BARE_IN_MIND,Possible Typo,Bare in mind that we're alone.,80
BARE_NAKED,Redundant Phrases,The old man ran bare naked through the streets.,
BASE_FORM,Grammar,I really likes cats.,50
BASIC_FUNDAMENTALS,Redundant Phrases,Let’s get back to the basic fundamentals!,
BASIS_ON_A,Plain English,We have been coming here on a regular basis for years.,
BE_A_X_ONE,Plain English,This test is an easy one.,
BE_ADVISED,Plain English,You are advised look after your belongings.,
BE_ALOUD_TO,Commonly Confused Words,Who is aloud to get information from your mail?,
BE_CAUSE,Possible Typo,It was all be cause of you.,80
BE_FINED_WITH,Grammar,I'm fined with that.,50
BE_FOND_TO,Grammar,Children are fond to skipping.,50
BE_I_BE_GERUND,Grammar,What was I am doing again?,50
BE_IN_UNDER_PRESSURE,Collocations,Kelly is in pressure.,
BE_INTEREST_IN,Grammar,I am interesting in this book.,50
BE_ON_IN_SHOCK,Collocations,We were on shock when it happen..,
BE_USE_TO_DO,Grammar,He is use to a vegetarian diet.,50
BE_WARE,Possible Typo,Be ware of the bears.,80
BE_WILL,Grammar,How is would this approach be useful?,50
BEAT_REGARDS,Possible Typo,"Beat Regards, Daniel",80
BECAUSE,Plain English,A national emergency exists by reason of the terrorist attacks.,
,,His lack of conversation is attributable to his shyness.,
,,Nader had to cancel his planned invasion in light of the fact that the Abdali Afghans had rebelled and invaded Khorasan.,
,,"The Stoors also had their own dialect of Hobbitish, owing to the fact that they spent some time in Dunland.",
,,"These two syndromes are usually referred to under one name, Wernicke–Korsakoff syndrome, due to the fact that they are part of the same etiology.",
BECAUSE_OF_I,Grammar,"Because of we didn't want a big train, but we want a fast train.",50
BECAUSE_OF_THE_FACT_THAT,Redundant Phrases,"Its crystals are usually hexagonal in shape, with flakiness and plating, usually because of the fact that it replaced a mineral.",
BECKON_CALL,Possible Typo,Don't expect me to be at your beckon call.,80
BED_ENGLISH,Possible Typo,Sorry for my bed English.,80
BEEN_PART_AGREEMENT,Grammar,I must have been always wrote that.,50
,,The software was introduce yesterday.,
BEFORE_HAND,Possible Typo,We packed before hand.,80
BEGS_BELIEF,Possible Typo,It begs belief that corporate policies can always pursue the best interests of a company.,80
BEING_BEGIN,Possible Typo,I was willing to risk begin interrogated about what I was going to do with the information.,80
,,"To being with, she is a Russian spy.",
BELATED,Plain English,They are on a belated honeymoon.,
BELIEF_BELIEVE,Commonly Confused Words,We belief that this is wrong.,
BELIEVE_BELIEF,Commonly Confused Words,It is my strong believe that something has to be changed.,
BELIEVE_TO_IN,Collocations,cause I believe to fitness.,
BEST_EVER,Redundant Phrases,Top ten best ever beer names.,
BETWEEN_PRP,Grammar,"His opposition to homosexuality causes tension between he and his gay roommate, Davis.",50
,,His opposition to homosexuality causes tension between I and Davis.,
,,His opposition to homosexuality causes tension between she and Davis.,
,,His opposition to homosexuality causes tension between they and Davis.,
BETWEEN_TO_AND,Collocations,Children between three to five are cute.,
BETWEEN_YOU_AND_I,Possible Typo,"Between you and I, there's no hope of survival.",80
BEWARE_PREPOSITION,Grammar,Beware about malware.,50
BEYOND_THE_PAIL,Possible Typo,His behavior was beyond the pail.,80
BIOGRAPHY_OF_A_LIFE,Redundant Phrases,"In this biography of her life, we get to share in the compelling story of a family’s struggles.",
BITTER_IN_TASTE,Redundant Phrases,This beer is bitter in taste.,
BIVOUAC_CAMP_BIVOUAC,Redundant Phrases,A rock climber leaves a hanging bivouac camp on an Arctic cliff,
BLEND_TOGETHER,Redundant Phrases,Their voices blend together in lovely harmony.,
BLIND_FOR_FROM,Collocations,blind for the fury.,
BLU_RAY,Commonly Confused Words,I ordered a Blu ray disk with their software.,
,,I ordered a Blu ray with their software.,
,,I ordered a Blu-ray disk with their software.,
,,I ordered a Blueray disk with their software.,
BOAST_FOR_OF,Collocations,He boasted for his skills.,
BOAT_MARINA,Redundant Phrases,Taupo Boat Marina,
BOB_WIRE,Commonly Confused Words,Building a bob wire fence,
BOLD_FACED,Commonly Confused Words,It was a bold-faced lie.,
BORED_OF,Possible Typo,I always get bored of people who talk about themselves.,80
BOTH_AS_WELL_AS,Grammar,He is both very rich as well as handsome.,50
BOTH_ENUM,Semantic,"It allows us to both grow, focus, and flourish.",
BOUQUET_OF_FLOWERS,Redundant Phrases,What a beautiful bouquet of flowers!,
BRAKE_AWAY_BREAK_AWAY,Commonly Confused Words,The should brake away from Russia.,
BREATHE_BREATH,Commonly Confused Words,I am not going to hold my breathe that he will do anything,
,,I could breath.,
,,I couldn't breath.,
,,We can not breath under water.,
BREW_HAHA,Possible Typo,What's all the brew haha about over there?,80
BRIEF_IN_DURATION,Redundant Phrases,"However, most wilderness programs are brief in duration.",
BRIEF_MOMENT,Redundant Phrases,A Brief Moment of Compassion,
BRING_AT_TO,Collocations,Bring Suzanne at the party.,
BRING_PUN_ON_THE_AGENDA,Collocations,We must bring to the agenda the people that are fed up of so many elections.,
BROUGHT_THEM_IN_THE_AIRPORT,Collocations,Friday came fast and the couple quitted their sweet house for took the bus who will brought them in the airport.,
BRUSSEL_SPROUT,Possible Typo,He left the last brussel sprout on his plate.,80
BUILD_OFF_OF,Possible Typo,Arcade Fire tried to build off of the success of their first album.,80
BUT_NEVERTHELESS,Redundant Phrases,"I should not have, but nevertheless I did.",
BUTTLOAD,Possible Typo,There was a buttload of cabbage left over.,80
BUY_VBG,Commonly Confused Words,We exploit these two features buy using Named Entity recognition.,
BY_DEFAULT_COMMA,Punctuation Errors,By default this setting is enabled.,
BY_EXAMPLE,Collocations,"By example, poor spelling makes pattern matching more difficult.",
BY_MEANS_OF,Plain English,Major forest areas are coming back by means of natural processes.,
BY_PASSIVE_PARTICIPLE_BE,Possible Typo,This can by consistent with usability constraints.,80
BYE_THE_WAY,Commonly Confused Words,"And bye the way, this program is open source.",
CA_PRP,Possible Typo,What ca I do?,80
,,You ca do it!,
CALENDER,Commonly Confused Words,"A calender is a system of organizing days for social, religious, commercial or administrative purposes.",
CAME_IN_INTO,Collocations,Judy came in the house after greeting her elders.,
CAN_ABLE_TO,Grammar,So you can able to download more apps regardless of the storage.,50
CAN_BACKUP,Possible Typo,Did you know you can backup your data on an external drive?,80
CAN_BLACKOUT,Possible Typo,You can blackout if you have any more to drink.,80
CAN_NOT,Possible Typo,You can not use the keyboard to select an item.,80
CAN_SETUP,Possible Typo,She can setup the tent in thirty seconds.,80
CAN_WHAT,Grammar,You should really how it works.,50
CAN_WORKOUT,Possible Typo,We can workout after we get lunch.,80
CANT,Possible Typo,I cant view pdf files in Explorer.,80
CANT_HELP_BUT,Grammar,I can't help but fall in love with you.,50
,,I cannot help but fall in love with you.,
CAPITALIZATION,Style,How many people died in world war II?,
,,She lived several years in south America.,
,,"Since 1914, cape cod has been separated from the mainland by the Cape Cod Canal.",
,,Some of the most prosperous neighbourhoods of the Netherlands can be found in the Hague.,
,,"The cape of good hope is a rocky headland on the Atlantic coast of the Cape Peninsula, South Africa.",
,,The middle ages is one of the three major periods in the most enduring scheme for analysing European history.,
,,What did you do on Valentine's day last year?,
,,What did you do on Veterans day last year?,
CAREFUL_FOR_WITH,Collocations,Be careful for the camera.,
CD_00_O_CLOCK,Nonstandard Phrases,It's 7:00 o'clock.,
,,It's 7:45 o'clock.,
CD_APOSTROPHE_S,Possible Typo,I have 5 CD's.,80
,,I have many CD's.,
CD_DISC,Redundant Phrases,I ordered a CD disk with their software.,
CD_DOZENS_OF,Grammar,You need two dozens of eggs.,50
CD_NN,Grammar,I have five book.,50
CD_WEEK_S,Possible Typo,"""he'll be sailing around the world in two week's time.",80
CDROM,Redundant Phrases,I ordered a Cdrom with their software.,
CHALK_FULL,Commonly Confused Words,Chalk full of mobile content,
CHANCE_CHANGE,Commonly Confused Words,Do not chance these settings!,
,,The climate chance must be stopped.,
CHOMPING_AT_THE_BIT,Possible Typo,The horses were all chomping at the bit.,80
CIRCUMSTANCES_SURROUNDING,Redundant Phrases,"Based upon this discussion, the OIG expanded the scope of its investigation to analyze the circumstances surrounding the settlement rejected by Judge Rakoff.",
CLEAN_UP,Commonly Confused Words,A full clean up is required.,
,,He promised to cleanup his room.,
CLEARLY_OR_OBVIOUSLY,Plain English,"Obviously, this is important.",
CLOSE_SCRUTINY,Redundant Phrases,The majority of Jannali's enterprises are located within close proximity to the suburb's railway station.,
,,Their manifesto yesterday received the same close scrutiny as the other two big parties — and it was an uncomfortable experience.,
CLOSER_FROM,Collocations,I moved in July to be closer from school.,
COARSE_COURSE,Commonly Confused Words,A coarse after action,
,,"In the syllabus for an Applied Mathematics coarse, students are told to write their problem sets individually.",
COLD_COULD,Possible Typo,Cold her father hear him?,80
,,Cold you hear him?,
,,This is all he cold do.,
,,This is all my father cold do.,
COLLECTIVE_NOUN_VERB_AGREEMENT_VBD,Grammar,A fleet of ships have been spotted.,50
COLLECTIVE_NOUN_VERB_AGREEMENT_VBP,Grammar,A fleet of ships are spotted.,50
COMBINE_TOGETHER,Redundant Phrases,Two things are combined together in this application.,
COME_IN_CAR,Collocations,She comes in car.,
,,She comes to work in car.,
COME_IN_TO,Collocations,"Finally, the boss called us all to come in her giant office for a meeting.",
COME_THROUGH,Possible Typo,They came throw the door.,80
COME_TO_PLANE,Collocations,I came to plane.,
COMFORTABLE_WITH_VBG,Redundant Phrases,I am not comfortable with dancing with strangers.,
COMMA_AFTER_A_MONTH,Punctuation Errors,"The store closed its doors for good in October, 1958.",
COMMA_BEFORE_AND,Punctuation Errors,She loves playing the piano and I hate it.,
COMMA_COMPOUND_SENTENCE,Punctuation Errors,Bill didn't work hard enough and so he failed.,
,,I need to borrow some money so I can buy some medicine for Tom.,
,,My friends are in Washington but I am in Seattle.,
,,She really purchased the car but she declined the extended warranty.,
